Topic,Model1,Model2,AverageSimilarity
2,flan_snp,flan_lnp,1.0
2,flan_snp,flan_snp,1.0
2,flan_snp,openai4m_lnp,0.849347
2,flan_snp,openai4m_snp,0.94375247
2,flan_snp,openai4o_lnp,0.851022
2,flan_snp,openai4o_snp,0.5252967
2,openai4m_lnp,flan_lnp,0.84934694
2,openai4m_lnp,flan_snp,0.84934694
2,openai4m_lnp,openai4m_lnp,0.8597898
2,openai4m_lnp,openai4m_snp,0.8203256
2,openai4m_lnp,openai4o_lnp,0.8648213
2,openai4m_lnp,openai4o_snp,0.62270147
2,openai4m_snp,flan_lnp,0.94375247
2,openai4m_snp,flan_snp,0.94375247
2,openai4m_snp,openai4m_lnp,0.8203256
2,openai4m_snp,openai4m_snp,0.93975306
2,openai4m_snp,openai4o_lnp,0.8275751
2,openai4m_snp,openai4o_snp,0.5315122
2,openai4o_lnp,flan_lnp,0.851022
2,openai4o_lnp,flan_snp,0.851022
2,openai4o_lnp,openai4m_lnp,0.8648214
2,openai4o_lnp,openai4m_snp,0.8275751
2,openai4o_lnp,openai4o_lnp,0.8753746
2,openai4o_lnp,openai4o_snp,0.6497914
2,openai4o_snp,flan_lnp,0.5252966
2,openai4o_snp,flan_snp,0.5252966
2,openai4o_snp,openai4m_lnp,0.62270147
2,openai4o_snp,openai4m_snp,0.53151226
2,openai4o_snp,openai4o_lnp,0.6497914
2,openai4o_snp,openai4o_snp,0.8521529
3,flan_lnp,flan_lnp,0.8141089
3,flan_lnp,flan_snp,0.8141089
3,flan_lnp,openai4m_lnp,0.6895453
3,flan_lnp,openai4m_snp,0.7417237
3,flan_lnp,openai4o_lnp,0.7107555
3,flan_lnp,openai4o_snp,0.7307117
3,flan_snp,flan_lnp,0.8141089
3,flan_snp,flan_snp,0.8141089
3,flan_snp,openai4m_lnp,0.6895453
3,flan_snp,openai4m_snp,0.7417237
3,flan_snp,openai4o_lnp,0.7107555
3,flan_snp,openai4o_snp,0.7307117
3,openai4m_lnp,flan_lnp,0.6895453
3,openai4m_lnp,flan_snp,0.6895453
3,openai4m_lnp,openai4m_lnp,0.72129804
3,openai4m_lnp,openai4m_snp,0.66882735
3,openai4m_lnp,openai4o_lnp,0.7014171
3,openai4m_lnp,openai4o_snp,0.6588348
3,openai4m_snp,flan_lnp,0.7417237
3,openai4m_snp,flan_snp,0.7417237
3,openai4m_snp,openai4m_lnp,0.6688273
3,openai4m_snp,openai4m_snp,0.7498788
3,openai4m_snp,openai4o_lnp,0.6856134
3,openai4m_snp,openai4o_snp,0.74344534
3,openai4o_lnp,flan_lnp,0.71075547
3,openai4o_lnp,flan_snp,0.71075547
3,openai4o_lnp,openai4m_lnp,0.7014171
3,openai4o_lnp,openai4m_snp,0.6856134
3,openai4o_lnp,openai4o_lnp,0.70585597
3,openai4o_lnp,openai4o_snp,0.67606974
3,openai4o_snp,flan_lnp,0.7307117
3,openai4o_snp,flan_snp,0.7307117
3,openai4o_snp,openai4m_lnp,0.65883493
3,openai4o_snp,openai4m_snp,0.74344546
3,openai4o_snp,openai4o_lnp,0.67606974
3,openai4o_snp,openai4o_snp,0.74612564
4,flan_lnp,flan_lnp,0.81782514
4,flan_lnp,flan_snp,0.40160707
4,flan_lnp,openai4m_lnp,0.37810174
4,flan_lnp,openai4m_snp,0.41384533
4,flan_lnp,openai4o_lnp,0.40743515
4,flan_lnp,openai4o_snp,0.38791755
4,flan_snp,flan_lnp,0.40160698
4,flan_snp,flan_snp,0.8241267
4,flan_snp,openai4m_lnp,0.4353263
4,flan_snp,openai4m_snp,0.49701622
4,flan_snp,openai4o_lnp,0.4265496
4,flan_snp,openai4o_snp,0.46523967
4,openai4m_lnp,flan_lnp,0.37810177
4,openai4m_lnp,flan_snp,0.4353263
4,openai4m_lnp,openai4m_lnp,0.76249385
4,openai4m_lnp,openai4m_snp,0.64515877
4,openai4m_lnp,openai4o_lnp,0.7251857
4,openai4m_lnp,openai4o_snp,0.5803146
4,openai4m_snp,flan_lnp,0.41384536
4,openai4m_snp,flan_snp,0.4970162
4,openai4m_snp,openai4m_lnp,0.64515877
4,openai4m_snp,openai4m_snp,0.7812723
4,openai4m_snp,openai4o_lnp,0.60509497
4,openai4m_snp,openai4o_snp,0.6590644
4,openai4o_lnp,flan_lnp,0.40743515
4,openai4o_lnp,flan_snp,0.4265496
4,openai4o_lnp,openai4m_lnp,0.72518563
4,openai4o_lnp,openai4m_snp,0.60509497
4,openai4o_lnp,openai4o_lnp,0.70876634
4,openai4o_lnp,openai4o_snp,0.54965323
4,openai4o_snp,flan_lnp,0.38791755
4,openai4o_snp,flan_snp,0.46523967
4,openai4o_snp,openai4m_lnp,0.58031446
4,openai4o_snp,openai4m_snp,0.6590645
4,openai4o_snp,openai4o_lnp,0.54965323
4,openai4o_snp,openai4o_snp,0.6039096
5,flan_lnp,flan_lnp,0.7781166
5,flan_lnp,flan_snp,0.7781166
5,flan_lnp,openai4m_lnp,0.36955673
5,flan_lnp,openai4m_snp,0.40044457
5,flan_lnp,openai4o_lnp,0.36409214
5,flan_lnp,openai4o_snp,0.36791962
5,flan_snp,flan_lnp,0.7781166
5,flan_snp,flan_snp,0.7781166
5,flan_snp,openai4m_lnp,0.36955673
5,flan_snp,openai4m_snp,0.40044457
5,flan_snp,openai4o_lnp,0.36409214
5,flan_snp,openai4o_snp,0.36791962
5,openai4m_lnp,flan_lnp,0.36955673
5,openai4m_lnp,flan_snp,0.36955673
5,openai4m_lnp,openai4m_lnp,0.80677015
5,openai4m_lnp,openai4m_snp,0.70543474
5,openai4m_lnp,openai4o_lnp,0.8018015
5,openai4m_lnp,openai4o_snp,0.7396263
5,openai4m_snp,flan_lnp,0.40044454
5,openai4m_snp,flan_snp,0.40044454
5,openai4m_snp,openai4m_lnp,0.70543474
5,openai4m_snp,openai4m_snp,0.78540236
5,openai4m_snp,openai4o_lnp,0.70087713
5,openai4m_snp,openai4o_snp,0.71003264
5,openai4o_lnp,flan_lnp,0.36409217
5,openai4o_lnp,flan_snp,0.36409217
5,openai4o_lnp,openai4m_lnp,0.8018015
5,openai4o_lnp,openai4m_snp,0.70087725
5,openai4o_lnp,openai4o_lnp,0.80151856
5,openai4o_lnp,openai4o_snp,0.7339134
5,openai4o_snp,flan_lnp,0.36791962
5,openai4o_snp,flan_snp,0.36791962
5,openai4o_snp,openai4m_lnp,0.7396263
5,openai4o_snp,openai4m_snp,0.71003264
5,openai4o_snp,openai4o_lnp,0.7339134
5,openai4o_snp,openai4o_snp,0.760139
6,flan_lnp,flan_lnp,0.8519221
6,flan_lnp,flan_snp,0.8519221
6,flan_lnp,openai4m_lnp,0.7581874
6,flan_lnp,openai4m_snp,0.80356276
6,flan_lnp,openai4o_lnp,0.74740213
6,flan_lnp,openai4o_snp,0.8069415
6,flan_snp,flan_lnp,0.8519221
6,flan_snp,flan_snp,0.8519221
6,flan_snp,openai4m_lnp,0.7581874
6,flan_snp,openai4m_snp,0.80356276
6,flan_snp,openai4o_lnp,0.74740213
6,flan_snp,openai4o_snp,0.8069415
6,openai4m_lnp,flan_lnp,0.75818753
6,openai4m_lnp,flan_snp,0.75818753
6,openai4m_lnp,openai4m_lnp,0.73775023
6,openai4m_lnp,openai4m_snp,0.73717254
6,openai4m_lnp,openai4o_lnp,0.7227377
6,openai4m_lnp,openai4o_snp,0.742093
6,openai4m_snp,flan_lnp,0.80356276
6,openai4m_snp,flan_snp,0.80356276
6,openai4m_snp,openai4m_lnp,0.73717254
6,openai4m_snp,openai4m_snp,0.7920587
6,openai4m_snp,openai4o_lnp,0.72578984
6,openai4m_snp,openai4o_snp,0.7875853
6,openai4o_lnp,flan_lnp,0.7474022
6,openai4o_lnp,flan_snp,0.7474022
6,openai4o_lnp,openai4m_lnp,0.7227377
6,openai4o_lnp,openai4m_snp,0.72578996
6,openai4o_lnp,openai4o_lnp,0.7249301
6,openai4o_lnp,openai4o_snp,0.7323454
6,openai4o_snp,flan_lnp,0.8069415
6,openai4o_snp,flan_snp,0.8069415
6,openai4o_snp,openai4m_lnp,0.7420929
6,openai4o_snp,openai4m_snp,0.7875853
6,openai4o_snp,openai4o_lnp,0.7323454
6,openai4o_snp,openai4o_snp,0.8017459
7,flan_lnp,flan_lnp,1.0000001
7,flan_lnp,flan_snp,1.0000001
7,flan_lnp,openai4m_lnp,0.8740825
7,flan_lnp,openai4m_snp,0.9354892
7,flan_lnp,openai4o_lnp,0.8532106
7,flan_lnp,openai4o_snp,0.9354892
7,flan_snp,flan_lnp,1.0000001
7,flan_snp,flan_snp,1.0000001
7,flan_snp,openai4m_lnp,0.8740825
7,flan_snp,openai4m_snp,0.9354892
7,flan_snp,openai4o_lnp,0.8532106
7,flan_snp,openai4o_snp,0.9354892
7,openai4m_lnp,flan_lnp,0.8740825
7,openai4m_lnp,flan_snp,0.8740825
7,openai4m_lnp,openai4m_lnp,0.9750957
7,openai4m_lnp,openai4m_snp,0.94042915
7,openai4m_lnp,openai4o_lnp,0.94581485
7,openai4m_lnp,openai4o_snp,0.94042915
7,openai4m_snp,flan_lnp,0.9354893
7,openai4m_snp,flan_snp,0.9354893
7,openai4m_snp,openai4m_lnp,0.9404292
7,openai4m_snp,openai4m_snp,0.99354887
7,openai4m_snp,openai4o_lnp,0.90408385
7,openai4m_snp,openai4o_snp,0.99354887
7,openai4o_lnp,flan_lnp,0.8532106
7,openai4o_lnp,flan_snp,0.8532106
7,openai4o_lnp,openai4m_lnp,0.9458149
7,openai4o_lnp,openai4m_snp,0.90408397
7,openai4o_lnp,openai4o_lnp,0.9261124
7,openai4o_lnp,openai4o_snp,0.90408397
7,openai4o_snp,flan_lnp,0.9354892
7,openai4o_snp,flan_snp,0.9354892
7,openai4o_snp,openai4m_lnp,0.9404292
7,openai4o_snp,openai4m_snp,0.99354887
7,openai4o_snp,openai4o_lnp,0.90408397
7,openai4o_snp,openai4o_snp,0.99354887
8,flan_lnp,flan_lnp,0.79606104
8,flan_lnp,flan_snp,0.79606104
8,flan_lnp,openai4m_lnp,0.29189697
8,flan_lnp,openai4m_snp,0.354373
8,flan_lnp,openai4o_lnp,0.26320848
8,flan_lnp,openai4o_snp,0.34192306
8,flan_snp,flan_lnp,0.79606104
8,flan_snp,flan_snp,0.79606104
8,flan_snp,openai4m_lnp,0.29189697
8,flan_snp,openai4m_snp,0.354373
8,flan_snp,openai4o_lnp,0.26320848
8,flan_snp,openai4o_snp,0.34192306
8,openai4m_lnp,flan_lnp,0.29189697
8,openai4m_lnp,flan_snp,0.29189697
8,openai4m_lnp,openai4m_lnp,0.7260336
8,openai4m_lnp,openai4m_snp,0.5092145
8,openai4m_lnp,openai4o_lnp,0.48906663
8,openai4m_lnp,openai4o_snp,0.40539473
8,openai4m_snp,flan_lnp,0.354373
8,openai4m_snp,flan_snp,0.354373
8,openai4m_snp,openai4m_lnp,0.5092145
8,openai4m_snp,openai4m_snp,0.508585
8,openai4m_snp,openai4o_lnp,0.42475894
8,openai4m_snp,openai4o_snp,0.45415956
8,openai4o_lnp,flan_lnp,0.2632085
8,openai4o_lnp,flan_snp,0.2632085
8,openai4o_lnp,openai4m_lnp,0.48906663
8,openai4o_lnp,openai4m_snp,0.424759
8,openai4o_lnp,openai4o_lnp,0.6501054
8,openai4o_lnp,openai4o_snp,0.45221284
8,openai4o_snp,flan_lnp,0.34192303
8,openai4o_snp,flan_snp,0.34192303
8,openai4o_snp,openai4m_lnp,0.40539473
8,openai4o_snp,openai4m_snp,0.45415956
8,openai4o_snp,openai4o_lnp,0.45221287
8,openai4o_snp,openai4o_snp,0.48638615
9,flan_lnp,flan_lnp,0.8113617
9,flan_lnp,flan_snp,0.8113617
9,flan_lnp,openai4m_lnp,0.69893175
9,flan_lnp,openai4m_snp,0.70954186
9,flan_lnp,openai4o_lnp,0.6309634
9,flan_lnp,openai4o_snp,0.7295424
9,flan_snp,flan_lnp,0.8113617
9,flan_snp,flan_snp,0.8113617
9,flan_snp,openai4m_lnp,0.69893175
9,flan_snp,openai4m_snp,0.70954186
9,flan_snp,openai4o_lnp,0.6309634
9,flan_snp,openai4o_snp,0.7295424
9,openai4m_lnp,flan_lnp,0.69893175
9,openai4m_lnp,flan_snp,0.69893175
9,openai4m_lnp,openai4m_lnp,0.73301333
9,openai4m_lnp,openai4m_snp,0.6652169
9,openai4m_lnp,openai4o_lnp,0.65072787
9,openai4m_lnp,openai4o_snp,0.6692758
9,openai4m_snp,flan_lnp,0.70954186
9,openai4m_snp,flan_snp,0.70954186
9,openai4m_snp,openai4m_lnp,0.6652169
9,openai4m_snp,openai4m_snp,0.7690327
9,openai4m_snp,openai4o_lnp,0.5945201
9,openai4m_snp,openai4o_snp,0.7508606
9,openai4o_lnp,flan_lnp,0.6309634
9,openai4o_lnp,flan_snp,0.6309634
9,openai4o_lnp,openai4m_lnp,0.65072787
9,openai4o_lnp,openai4m_snp,0.5945201
9,openai4o_lnp,openai4o_lnp,0.740237
9,openai4o_lnp,openai4o_snp,0.59602416
9,openai4o_snp,flan_lnp,0.7295423
9,openai4o_snp,flan_snp,0.7295423
9,openai4o_snp,openai4m_lnp,0.6692758
9,openai4o_snp,openai4m_snp,0.7508606
9,openai4o_snp,openai4o_lnp,0.59602416
9,openai4o_snp,openai4o_snp,0.7634416
10,flan_lnp,flan_lnp,0.79737395
10,flan_lnp,flan_snp,0.79737395
10,flan_lnp,openai4m_lnp,0.5087324
10,flan_lnp,openai4m_snp,0.29193592
10,flan_lnp,openai4o_lnp,0.52609193
10,flan_lnp,openai4o_snp,0.26801032
10,flan_snp,flan_lnp,0.79737395
10,flan_snp,flan_snp,0.79737395
10,flan_snp,openai4m_lnp,0.5087324
10,flan_snp,openai4m_snp,0.29193592
10,flan_snp,openai4o_lnp,0.52609193
10,flan_snp,openai4o_snp,0.26801032
10,openai4m_lnp,flan_lnp,0.5087324
10,openai4m_lnp,flan_snp,0.5087324
10,openai4m_lnp,openai4m_lnp,0.78652054
10,openai4m_lnp,openai4m_snp,0.5488309
10,openai4m_lnp,openai4o_lnp,0.80355537
10,openai4m_lnp,openai4o_snp,0.4451408
10,openai4m_snp,flan_lnp,0.2919359
10,openai4m_snp,flan_snp,0.2919359
10,openai4m_snp,openai4m_lnp,0.5488309
10,openai4m_snp,openai4m_snp,0.70407075
10,openai4m_snp,openai4o_lnp,0.5375762
10,openai4m_snp,openai4o_snp,0.5437608
10,openai4o_lnp,flan_lnp,0.52609193
10,openai4o_lnp,flan_snp,0.52609193
10,openai4o_lnp,openai4m_lnp,0.80355537
10,openai4o_lnp,openai4m_snp,0.53757614
10,openai4o_lnp,openai4o_lnp,0.82785326
10,openai4o_lnp,openai4o_snp,0.44093308
10,openai4o_snp,flan_lnp,0.26801032
10,openai4o_snp,flan_snp,0.26801032
10,openai4o_snp,openai4m_lnp,0.44514084
10,openai4o_snp,openai4m_snp,0.5437608
10,openai4o_snp,openai4o_lnp,0.44093308
10,openai4o_snp,openai4o_snp,0.77329636
11,flan_lnp,flan_lnp,0.7764075
11,flan_lnp,flan_snp,0.7764075
11,flan_lnp,openai4m_lnp,0.60606956
11,flan_lnp,openai4m_snp,0.6749573
11,flan_lnp,openai4o_lnp,0.6132986
11,flan_lnp,openai4o_snp,0.7257394
11,flan_snp,flan_lnp,0.7764075
11,flan_snp,flan_snp,0.7764075
11,flan_snp,openai4m_lnp,0.60606956
11,flan_snp,openai4m_snp,0.6749573
11,flan_snp,openai4o_lnp,0.6132986
11,flan_snp,openai4o_snp,0.7257394
11,openai4m_lnp,flan_lnp,0.60606956
11,openai4m_lnp,flan_snp,0.60606956
11,openai4m_lnp,openai4m_lnp,0.72486067
11,openai4m_lnp,openai4m_snp,0.69504714
11,openai4m_lnp,openai4o_lnp,0.6930443
11,openai4m_lnp,openai4o_snp,0.64271235
11,openai4m_snp,flan_lnp,0.6749573
11,openai4m_snp,flan_snp,0.6749573
11,openai4m_snp,openai4m_lnp,0.69504714
11,openai4m_snp,openai4m_snp,0.7667746
11,openai4m_snp,openai4o_lnp,0.7036844
11,openai4m_snp,openai4o_snp,0.7148704
11,openai4o_lnp,flan_lnp,0.6132985
11,openai4o_lnp,flan_snp,0.6132985
11,openai4o_lnp,openai4m_lnp,0.6930443
11,openai4o_lnp,openai4m_snp,0.7036844
11,openai4o_lnp,openai4o_lnp,0.69165194
11,openai4o_lnp,openai4o_snp,0.64331716
11,openai4o_snp,flan_lnp,0.7257394
11,openai4o_snp,flan_snp,0.7257394
11,openai4o_snp,openai4m_lnp,0.64271235
11,openai4o_snp,openai4m_snp,0.71487045
11,openai4o_snp,openai4o_lnp,0.6433173
11,openai4o_snp,openai4o_snp,0.79254395
12,flan_lnp,flan_lnp,0.7790434
12,flan_lnp,flan_snp,0.7790434
12,flan_lnp,openai4m_lnp,0.60968214
12,flan_lnp,openai4m_snp,0.48245445
12,flan_lnp,openai4o_lnp,0.624509
12,flan_lnp,openai4o_snp,0.48468047
12,flan_snp,flan_lnp,0.7790434
12,flan_snp,flan_snp,0.7790434
12,flan_snp,openai4m_lnp,0.60968214
12,flan_snp,openai4m_snp,0.48245445
12,flan_snp,openai4o_lnp,0.624509
12,flan_snp,openai4o_snp,0.48468047
12,openai4m_lnp,flan_lnp,0.6096821
12,openai4m_lnp,flan_snp,0.6096821
12,openai4m_lnp,openai4m_lnp,0.72646004
12,openai4m_lnp,openai4m_snp,0.5260141
12,openai4m_lnp,openai4o_lnp,0.74486357
12,openai4m_lnp,openai4o_snp,0.5283859
12,openai4m_snp,flan_lnp,0.48245448
12,openai4m_snp,flan_snp,0.48245448
12,openai4m_snp,openai4m_lnp,0.5260141
12,openai4m_snp,openai4m_snp,0.801603
12,openai4m_snp,openai4o_lnp,0.5373155
12,openai4m_snp,openai4o_snp,0.80683655
12,openai4o_lnp,flan_lnp,0.6245089
12,openai4o_lnp,flan_snp,0.6245089
12,openai4o_lnp,openai4m_lnp,0.7448637
12,openai4o_lnp,openai4m_snp,0.5373154
12,openai4o_lnp,openai4o_lnp,0.7726462
12,openai4o_lnp,openai4o_snp,0.53975904
12,openai4o_snp,flan_lnp,0.48468047
12,openai4o_snp,flan_snp,0.48468047
12,openai4o_snp,openai4m_lnp,0.5283859
12,openai4o_snp,openai4m_snp,0.80683655
12,openai4o_snp,openai4o_lnp,0.53975904
12,openai4o_snp,openai4o_snp,0.8128258
13,flan_lnp,flan_lnp,0.99999994
13,flan_lnp,flan_snp,0.99999994
13,flan_lnp,openai4m_lnp,0.52719885
13,flan_lnp,openai4m_snp,0.24361141
13,flan_lnp,openai4o_lnp,0.71291083
13,flan_lnp,openai4o_snp,0.34300545
13,flan_snp,flan_lnp,0.99999994
13,flan_snp,flan_snp,0.99999994
13,flan_snp,openai4m_lnp,0.52719885
13,flan_snp,openai4m_snp,0.24361141
13,flan_snp,openai4o_lnp,0.71291083
13,flan_snp,openai4o_snp,0.34300545
13,openai4m_lnp,flan_lnp,0.5271989
13,openai4m_lnp,flan_snp,0.5271989
13,openai4m_lnp,openai4m_lnp,0.5969656
13,openai4m_lnp,openai4m_snp,0.48766708
13,openai4m_lnp,openai4o_lnp,0.6470151
13,openai4m_lnp,openai4o_snp,0.39509228
13,openai4m_snp,flan_lnp,0.24361141
13,openai4m_snp,flan_snp,0.24361141
13,openai4m_snp,openai4m_lnp,0.48766708
13,openai4m_snp,openai4m_snp,0.8384727
13,openai4m_snp,openai4o_lnp,0.3201445
13,openai4m_snp,openai4o_snp,0.44073948
13,openai4o_lnp,flan_lnp,0.71291083
13,openai4o_lnp,flan_snp,0.71291083
13,openai4o_lnp,openai4m_lnp,0.6470151
13,openai4o_lnp,openai4m_snp,0.3201445
13,openai4o_lnp,openai4o_lnp,0.8673723
13,openai4o_lnp,openai4o_snp,0.40400872
13,openai4o_snp,flan_lnp,0.34300545
13,openai4o_snp,flan_snp,0.34300545
13,openai4o_snp,openai4m_lnp,0.3950923
13,openai4o_snp,openai4m_snp,0.4407395
13,openai4o_snp,openai4o_lnp,0.40400872
13,openai4o_snp,openai4o_snp,0.71473193
14,flan_lnp,flan_lnp,0.7880742
14,flan_lnp,flan_snp,0.7880742
14,flan_lnp,openai4m_lnp,0.76174575
14,flan_lnp,openai4m_snp,0.7873875
14,flan_lnp,openai4o_lnp,0.7187332
14,flan_lnp,openai4o_snp,0.78754824
14,flan_snp,flan_lnp,0.7880742
14,flan_snp,flan_snp,0.7880742
14,flan_snp,openai4m_lnp,0.76174575
14,flan_snp,openai4m_snp,0.7873875
14,flan_snp,openai4o_lnp,0.7187332
14,flan_snp,openai4o_snp,0.78754824
14,openai4m_lnp,flan_lnp,0.76174575
14,openai4m_lnp,flan_snp,0.76174575
14,openai4m_lnp,openai4m_lnp,0.78637016
14,openai4m_lnp,openai4m_snp,0.765662
14,openai4m_lnp,openai4o_lnp,0.72611403
14,openai4m_lnp,openai4o_snp,0.7651567
14,openai4m_snp,flan_lnp,0.78738755
14,openai4m_snp,flan_snp,0.78738755
14,openai4m_snp,openai4m_lnp,0.765662
14,openai4m_snp,openai4m_snp,0.8059946
14,openai4m_snp,openai4o_lnp,0.71753883
14,openai4m_snp,openai4o_snp,0.8059984
14,openai4o_lnp,flan_lnp,0.7187332
14,openai4o_lnp,flan_snp,0.7187332
14,openai4o_lnp,openai4m_lnp,0.726114
14,openai4o_lnp,openai4m_snp,0.7175389
14,openai4o_lnp,openai4o_lnp,0.77038026
14,openai4o_lnp,openai4o_snp,0.71704483
14,openai4o_snp,flan_lnp,0.78754824
14,openai4o_snp,flan_snp,0.78754824
14,openai4o_snp,openai4m_lnp,0.7651567
14,openai4o_snp,openai4m_snp,0.8059984
14,openai4o_snp,openai4o_lnp,0.71704483
14,openai4o_snp,openai4o_snp,0.80608106
15,flan_lnp,flan_lnp,0.8257687
15,flan_lnp,flan_snp,0.8257687
15,flan_lnp,openai4m_lnp,0.69557863
15,flan_lnp,openai4m_snp,0.7461026
15,flan_lnp,openai4o_lnp,0.6932248
15,flan_lnp,openai4o_snp,0.7553453
15,flan_snp,flan_lnp,0.8257687
15,flan_snp,flan_snp,0.8257687
15,flan_snp,openai4m_lnp,0.69557863
15,flan_snp,openai4m_snp,0.7461026
15,flan_snp,openai4o_lnp,0.6932248
15,flan_snp,openai4o_snp,0.7553453
15,openai4m_lnp,flan_lnp,0.69557863
15,openai4m_lnp,flan_snp,0.69557863
